record_id,redcap_repeat_instrument,redcap_repeat_instance,redcap_survey_identifier,fragebogen_zu_morgen_und_abendaktivitten_meq_timestamp,meq_freewake,meq_freesleep,meq_alarm,meq_wakeupease,meq_mor_alert,meq_mor_hunger,meq_mor_feel,meq_free_bedtime,meq_mor_exercise,meq_eve_tired,meq_peak_perf,meq_eleven_tired,meq_delayed_sleep,meq_shift_conseq,meq_phys_work,meq_eve_exercise,meq_ideal_week,meq_besthour,meq_perceived_chron,fragebogen_zu_morgen_und_abendaktivitten_meq_complete
"19,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-09-08 19:35:22"",4,4,4,2,3,1,3,3,3,4,2,1,1,1,2,2,2,4,4,2"
20,,,BAUA_S020,,,,,,,,,,,,,,,,,,,,,
"20,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-09-22 07:13:38"",2,3,4,3,2,1,3,2,2,3,2,2,2,1,2,3,3,2,2,2"
21,,,BAUA_S019,,,,,,,,,,,,,,,,,,,,,
"21,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-09-22 08:57:49"",2,3,2,3,2,1,2,3,1,1,1,4,1,4,1,4,1,2,1,2"
22,,,BAUA_S022,,,,,,,,,,,,,,,,,,,,,
"22,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-09-22 15:18:31"",4,3,4,3,2,3,3,3,3,2,2,2,2,2,2,3,3,3,3,2"
23,,,BAUA_S023,,,,,,,,,,,,,,,,,,,,,
"23,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-09-23 09:23:45"",4,5,4,2,2,1,2,3,3,3,2,2,4,1,2,3,2,3,3,2"
24,,,BAUA_S025,,,,,,,,,,,,,,,,,,,,,
"24,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-10-13 10:29:17"",4,3,3,4,3,1,2,3,3,3,3,3,3,3,3,2,3,4,4,2"
25,,,BAUA_S024,,,,,,,,,,,,,,,,,,,,,
"25,fragebogen_zu_morgen_und_abendaktivitten_meq,1,,""2025-10-13 11:18:41"",2,2,4,3,3,1,3,4,2,3,1,3,3,3,1,4,3,2,2,2"
