record_id,general_feeling_english,challenges_english,act_impact_english,beh_adapt_english,social_english,improvements_english,change_behavior_english,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,change_behavior
BAUA_S007,"Partly a bit strange, because I looked odd with the glasses.",Just wear them and go about things...,"When in public a lot, or in sensitive situations like at the doctor.",I consciously went to certain places like shopping and avoided large crowds.,"There were no specific situations, but in general there was interest in what the device was and whether it was a camera.","Unfortunately, no.",NA,TRUE,"Teilweise etwas komisch, da ich merkwürdig mit der Brille ausgesehen habe.",Einfach tragen und machen...,Mit viel Öffentlichkeit bzw. in sensiblen Situationen wie beim Arzt.,Ich bin bewusst zu bestimmten Orten wie Einkaufen gegangen und habe eine große Öffentlichkeit gemieden.,"konkrete Situationen gab es nicht, es gab generelles Interesse was es für ein Teil ist und ob es eine Kamera wäre.",leider nein.,NA
BAUA_S012,Uncomfortable,Questions. Trying to explain.,Talking to people.,Taking them off.,Yes,Less conspicuous sensors,NA,FALSE,Unwohl,Fragen. Versuchen zu erklären.,Sprechen mit Personen.,Ablegen.,Ja,Unaufälligere Sensoren,NA
BAUA_S013,Restricted,It was rather uncomfortable while driving.,"During morning hygiene, getting dressed, and driving.","While driving I checked several times to make sure the road was clear. The field of vision is restricted in certain situations. While reading, I had to add reading glasses, which was very disturbing when you have to wear two pairs of glasses.","Frequently. At the doctor's I was asked about the glasses and also at the car repair shop. My neighbors asked me about it and would also like to participate in the study. Among friends and family, it was also received positively.","Yes, I would welcome possibly transforming the light glasses into a headband with stretch (adjustable). I think it would be less disturbing.",NA,FALSE,eingeschränkt,beim Autofahren eher unangenehm,"bei der Morgentoilette, umziehen, Autofahren","beim Autofahren mehrmals vergewissert, dass die Straße frei ist. Das Sichfeld ist in manchen Situationen eingeschränkt. Beim Lesen musste ich zusätzlich die Lesebrille hinzufügen, das störte sehr, wenn man 2 Brillen tragen muss.","häufig. Beim Arzt, wurde ich nach der Brille gefragt und in der KFZ-Werkstatt. DIe Nachbarn haben mich befragt und würden auch gerne an der Studie teilnehmen. Im Freundes- und Verwandtenkreis wurde es auch positiv aufgenommen.","ja, ich würde es begrüßen, die Lichtbrille eventuell in ein Stirnband mit Stretch (verstellbar) umzufunktionieren. Ich denke, dass es weniger stört.",NA
BAUA_S014,"Somewhat unusual because of the glasses, but everything was within reason.",Unusual feeling and field of vision.,Walking outside.,NA,"Yes, at work I was repeatedly asked curiously about what I was wearing.",NA,NA,FALSE,"etwas ungewohnt durch Brille, jedoch alles im Rahmen",ungewohntes Gefühl und Sichtfenster,Spazieren draußen,--,"ja, in der Arbeit wurde ich mehrmals neugierig angesprochen was ich trage",--,NA
BAUA_S016,A bit unusual at first but okay.,Contact with other (strange) people.,Activities with other people.,Nothing.,I was asked if I was wearing a camera. It was taken positively when I explained it was for a study on light exposure.,"A less conspicuous sensor, if possible.",NA,TRUE,Etwas gewöhnungbedürftig aber in Ordnung,Kontakt mit anderen (fremden) Menschen,Aktivitäten mit anderen Menschen,Nichts,"Ich wurde gefragt, ob ich eine Kamera trage. Es wurde positiv aufgenommen, dass es sich um ein Versuch handelt zur Lichtexposition",unauffälligeren Sensor wenn möglich,NA
BAUA_S015,"At first it felt a bit strange, but I got used to it quickly. In some situations it was still a bit uncomfortable.","A lot of people stared at me. Occasionally there were questions, but never negative—just out of curiosity.","In public transport (bus, train), I always looked for a seat with as little eye contact with people as possible.",I always looked for a seat with as little eye contact with people as possible. I went out minimally less than usual.,Yes.,"No, but the necklace should perhaps be adjustable in length, since it often slipped under my sweater.",NA,FALSE,"Anfangs etwas komisch, aber man hat sich schnell daran gewöhnt. In manchen Situationen trotzdem etwas unangenehm.","Viele Leute, die einen anstarren. Selten kamen Fragen, aber nie negativ sondern aus Interesse.","Im öffentlichen Verkehr (Bus, Bahn), immer einen platz gesucht mit möglichst wenig Augenkontakt zu Menschen.",Immer einen Platz gesucht mit möglichst wenig Augenkontakt zu Menschen. Minimal weniger rausgegangen als sonst.,Ja.,"Nein, aber das Halsband sollte evtl. längenverstellbar sein, da es öfters unter den Pulli gerutscht ist.",NA
BAUA_S017,"Not different, but both the glasses and the necklace were bothersome during physical work.",The only challenge was making sure the glasses didn't fall off while I was working on the roof.,At work.,"Not at all, I just had to keep readjusting the glasses every few minutes, which became a bit annoying over time since I don't usually wear glasses and as a roofer I move around a lot at work.","Apart from strange looks and my neighbor asking about it, no.","The necklace doesn't really bother me, the wristband is absolutely fine, only the glasses—because of the big sensor on the face—look a bit unusual.",NA,FALSE,"nicht anders, allerdings hat die Brille sowohl als auch das Halsband während körperlicher Arbeit gestört.",die einzige Herausforderung war es das mir die Brille nicht abfällt wenn ich auf dem Dach gearbeitet habe,auf der Arbeit,"garnichht, musste die Brille halt nur alle paar Minuten wieder neu ausrichten, was nach einer Zeit bisschen nervig wurde da ich kein Brillenträger bin und mich auf der arbeit als Dachdecker halt viel bewege",Bis aus seltsame Blicke und meinen Nachbarn der gefragt hat nein,"Das Halsband stört nicht wirklich, das Armband ist absolut in Ordnung, nur die Brille sieht halt mit dem riesen Sensor im Gesicht etwas gewöhnungsbedürftig aus",NA
BAUA_S018,"At times, I felt that it got in the way, especially when doing housework.","When looking down, it slipped off quite often. Also, due to some people's stares, it was uncomfortable to walk outside with it.",While cleaning and while walking outside.,I held it in place if I knew I was going to look down.,An older gentleman scolded me on my way to work; my coworkers were very interested.,"If possible, a somewhat less conspicuous sensor, although I understand that this may not be possible.",NA,FALSE,"Teils hatte ich das Gefühl, dass sie im Weg war, gerade bei der Hausarbeit",Beim nach unten schauen ist sie des Öfteren runtergerutscht. Zudem war es aufgrund einiger Blicke unangenehm damit draußen spazieren zu gehen,Beim putzen und beim draußen spazieren,"Ich habe sie festgehalten wenn ich wusste, dass ich nach unten schauen möchte","Ein älterer Herr hat mich auf dem Weg zur arbeit angefaucht, meine Arbeitskolleg*innen waren sehr interessiert","Falls möglich ein etwas unauffälligerer Sensor, aber ich verstehe, dass dies eventuell nicht möglich ist",NA
BAUA_S022,good,none,None,none,yes,Anti-reflective coating on the lenses,NA,FALSE,gut,keine,Keine,keine,ja,Gläser entspiegeln,NA
BAUA_S023,"Unfortunately, I was only able to wear the glasses for 1.5 days. The lack of anti-reflection coating caused me headaches.",The lack of anti-reflection coating and the weight were very uncomfortable. That's why I stopped wearing the glasses.,"As soon as there were several light sources turned on, the glasses bothered me a lot.",I took the glasses off.,No.,"The glasses must be anti-reflective. Furthermore, the weight should be reduced.",NA,TRUE,Leider konnte ich die Brille nur 1 1/2 Tage tragen. Die fehlende Entspiegelung hat bei mir für Kopfschmerzen gesorgt.,"Die fehlende Entspiegelung, sowie das Gewicht waren sehr unangenehm. Ich habe die Brille auf Grund dessen nicht mehr getragen.","Sobald mehrere Lichtquellen an waren, hat mich die Brille extrem gestört.",Ich habe die Brille abgenommen.,Nein,Die Brille sollte zwingend entspiegelt werden. Des weiteren sollte am Gewicht gearbeitet werden.,NA
BAUA_S024,"At first, it was difficult to get used to wearing the glasses, but then it went well. In public, of course, people did give you some odd looks.","The light glasses attract attention in public, which doesn't bother me. However, during an important business meeting, I took them off because it would look very unprofessional. I had issues with the neck/wrist band sensor, especially on the wrist, as it was often covered by something (jacket/blanket).","During business meetings (and in a week with lots of appointments, I wouldn't have been able to wear them).","I didn't take a bath in the evening, and kept trying to make sure my wrist was uncovered.","No one spoke to me directly about it, but there were definitely looks. I think people in public assume they're being filmed (it looks like a mini-GoPro).","The smaller, the better. Please make the frame in black.",NA,FALSE,"Zuerst war es schwer, sich an das Tragen der Brille zu gewöhnen, dann ging es aber gut. In der Öffentlichkeit wurde man natürlich schon etwas schräg von der Seite angeschaut.","In der Öffentlichkeit zieht die Lichtbrille Aufmerksamkeit auf sich, was mich jetzt nicht stört. Bei einem wichtigen Geschäftstermin habe ich sie aber abgesetzt, weil das doch sehr unprofessionell wirkt.    Mit dem Hals/Armband hatte ich Probleme, dass der Sensor (vor allem am Handgelenk) oft von etwas (Jacke/Decke) bedeckt wurde.","Bei Geschäftsterminen (in einer Woche, während der viele Termine stattfinden hätte ich sie nicht tragen können).","Abends mal kein Bad genommen, immer wieder versucht, mein Handgelenk unbedeckt zu haben.","Niemand hat mich direkt darauf angesprochen, aber Blicke gab es definitiv. Ich denke, dass Leute in der Öffentlichkeit davon ausgehen, dass sie gefilmt werden (siieht aus wie eine mini-GoPro).",Je kleiner desto besser. Rahmen bitte in schwarz drucken.,NA
BAUA_S025,"Especially in the mornings and evenings, showering, changing clothes, and putting on a jacket were extremely difficult with the glasses and the wear log.","Everyone comments on it. Additionally, it was heavy on the nose (and I don't usually wear glasses), plus there were complications with my bike helmet.","Being addressed/questioned, riding a bike (helmet).",I explained to people that it's just measuring light and not recording video.,"See above, yes!","Don't make it as glasses at all—only as a forehead attachment with a band, or possibly switch back to a neckband.",NA,FALSE,"Gerade morgens, abends, duschen, Umziehen, Jacke anziehen war extrem schwierig mit Brille und Trageprotokoll",Alle Leute sprechen mich darauf an. Gleichzeitig schwere auf Nase (Sonst nichtmal Brillenträger) + Komplikationen mit Fahrradhelm.,"Angesprochen werden, Fahrradfahren (Helm)","Ich habe mich erklärt, und darauf hingewiesen, dass es nur Licht, aber kein Video ist.","siehe Oben, ja!",Garnicht als Brille ausführen. nur Stirnaufsatz mit Band. Eventuell auf das Halsband zurückgreifen.,NA
