record_id,Datetime,loc_spec,descr,identity_spec,future_use,loc_spec_english,descr_english,identity_spec_english,future_use_english
BAUA_S004,2025-06-11T05:36:00Z,NA,"Ort: Stadt, positives Feedback, Anregung zum Selbstversuch",NA,Tragen beibehalten,NA,"Location: City, positive feedback, suggestion to try it yourself.",NA,Will continue to wear them.
BAUA_S004,2025-06-11T09:37:00Z,NA,Frage nach Überwachung,NA,ich trage die Brille mit Stolz,NA,Question about surveillance,NA,I wear the glasses with pride
BAUA_S004,2025-06-12T13:00:00Z,NA,"Verwunderung über das Tragen der Brille+Sensoren, neugieriges Interesse",NA,keine,NA,"Amazement about wearing the glasses and sensors, curious interest.",NA,None
BAUA_S004,2025-06-12T13:14:00Z,NA,"auf dem Weg nach Hause auf der Straße, kritisch neugieriger Blick, keine Auswirkungen auf das Tragen",NA,keine,NA,"On the way home on the street, received a critical and curious glance, no impact on wearing them.",NA,None
BAUA_S004,2025-06-14T08:07:00Z,Trödelmarkt,"Ort: Trödelmarkt; Nachfrage eines Verkäufers, ob mit Kamera gefilmt wird, Interesse am Grund des Tragens, Positive Rückmeldung auf Studienteilnahme",NA,"diese Rückma hat keinerlei Auswirkungen auf das stetige Tragen der Lichtbrille, das Tragen löst bei manchen Personen Skepsis aufgrund der Ähnlichkeit zu einer Kamera aus",Flea market,"Location: flea market; a seller inquired whether I was filming with a camera, showed interest in the reason for wearing the glasses, and gave positive feedback about participating in the study.",NA,"This feedback has no impact on my continued wearing of the light glasses. However, wearing them causes skepticism in some people because of their similarity to a camera."
BAUA_S004,2025-06-16T15:35:00Z,nahe einer Sporthalle,Interesse am Tragegrund der Lichtbrille,NA,weiteres Tragen der Lichtbrille,near a sports hall,Interest in the reason for wearing the light glasses.,NA,Further wearing of the light glasses.
BAUA_S004,2025-06-17T05:55:00Z,Schule,"Ort: vor der Berufsschule; direktes Daraufansprechen auf die Lichtbrille; zunächst der Eindruck einer Filmbrille, dass Videos für das Internet aufgenommen werden;  sehr positives Feedback auf das Tragen der Brille und die Teilnahme an einer Studie",NA,stolzes Tragen der Brille weiterhin,School,"Location: in front of the vocational school; directly addressed about the light glasses; at first the impression was that it was a film camera, that videos were being recorded for the Internet; very positive feedback about wearing the glasses and participating in a study.",NA,Will continue to wear the glasses with pride.
BAUA_S005,2025-06-12T10:30:00Z,NA,"kollegen sagten ich sehe lächerlich aus und dass sie sich ja ""nicht trauen würden so rumzulaufen""",NA,Find meine Kollegen jetzt weniger sympathisch,NA,"Colleagues said I looked ridiculous and that they themselves ""would not dare to walk around like that"".",NA,I now find my colleagues less likeable.
BAUA_S005,2025-06-16T10:53:00Z,NA,kollegen haben sich die gesamte Mittagspause über die Brille/ meine Studienteilnahme lustig gemacht,NA,"Langsam fühlt sich der konstante Spott der Kollegen echt nervig an. Werde die Brille weiter tragen, aber bin froh wenn es vorbei ist",NA,Colleagues made fun of the glasses and my study participation during the whole lunch break.,NA,"The constant mockery from colleagues is really starting to get annoying. I will continue to wear the glasses, but I am glad when it's over."
BAUA_S006,2025-06-14T19:15:00Z,NA,"Ich wurde auf die Lichtbrille angesprochen. habe kurz erläutert worum es geht und habe eine positive Rückmeldung erhalten, dass es eine sehr interessante Sache ist.",NA,keine,NA,I was approached about the light glasses. I briefly explained what it was about and received positive feedback that it is a very interesting thing.,NA,None
BAUA_S007,2025-06-25T05:15:00Z,NA,"auf die Brille und die Sensoren angesprochen worden, ohne negative Reaktion.",NA,keine Auswirkungen,NA,"Was asked about the glasses and the sensors, without any negative reaction.",NA,No impact.
BAUA_S015,2025-07-22T14:00:00Z,NA,meine Arbeitskollegin hat Interesse gezeigt,NA,keine,NA,My colleague at work showed interest.,NA,None.
BAUA_S015,2025-07-28T14:46:00Z,NA,in der Bahn sprach mich ein Mann darauf an und fragtw ob das eine Kamera ist,NA,keine,NA,"On the train, a man spoke to me about it and asked if it was a camera.",NA,None.
BAUA_S018,2025-09-09T07:39:00Z,NA,Ein älterer Mann hat mich am Bahnhof angefaucht wie eine Katze. Ich war sehr verwirrt,NA,"Ich werde sie weiterhin am Bahnhof tragen. Ich verstehe, dass gerade ältere Personen eher negativ auf die Brille reagieren",NA,An older man hissed at me like a cat at the train station. I was very confused.,NA,I will continue to wear them at the train station. I understand that especially older people tend to react negatively to the glasses.
BAUA_S018,2025-09-11T09:25:00Z,NA,"Ich wurde gefragt was das für eine Brille ist. Nachdem ich die Studie erklärt habe, hat meine Arbeitskollegin sich informiert und überlegt, sich in Zukunft bei einer Studie der Baua anzumelden",NA,Ich freue mich jetzt etwas mehr sie zu tragen,NA,"I was asked what kind of glasses these are. After I explained the study, my work colleague became interested and considered signing up for a BAUA study in the future.",NA,I'm now a bit more happy to wear them.
BAUA_S022,2025-09-23T20:42:00Z,NA,"Nachfragen zu der Brille, wofür die da ist.",NA,keine,NA,"Inquiries about the glasses, what they are for.",NA,None
BAUA_S022,2025-09-24T19:58:00Z,NA,Meine Frau findet es lustig. Steht mir.,NA,weiter tragen,NA,My wife finds it funny. It suits me.,NA,Continue to wear
BAUA_S022,2025-09-29T12:01:00Z,NA,"Ein Kindergartenkind mit Mutter hat gefragt, was ich da auf der Brille trage? Das sieht merkwürdig aus. Auf dem Weg zum Supermarkt.",NA,keine,NA,A kindergarten child with their mother asked what I am wearing on my glasses. It looks strange. This was on the way to the supermarket.,NA,None
BAUA_S024,2025-10-13T18:17:00Z,NA,"Ich finde es schwierig den Lichtsensor am Halsband immer unbedeckt zu haben, vor allem auf der Couch mit einer Decke.",NA,"Ich muss nur in den nächsten Tagen mehr darauf achten, dass die Hals- und Handgelenksensoren nicht bedeckt sind.",NA,"I find it difficult to always keep the light sensor on the collar uncovered, especially on the couch with a blanket.",NA,I just need to pay more attention in the next few days to make sure the neck and wrist sensors are not covered.
BAUA_S024,2025-10-14T18:00:00Z,NA,"Es wäre toll, wenn die App selbst Notifications zu den 4x täglichen Befragungen schickt oder wenn es eine abgehakte To-Do Liste gibt.",NA,Hat nichts mit der Brille zu tun.,NA,It would be great if the app itself sent notifications for the 4x daily surveys or if there were a checklist that could be ticked off.,NA,This has nothing to do with the glasses.
BAUA_S025,2025-10-13T14:29:00Z,Fahrrad,"Fahrradfahren mit Brille nicht möglich, Sensor blockiert mit Helm, Brille sitzt 4cm zu tief",NA,"Eigentlich ist Radfahren so nicht möglich, ab jetzt zu Fuß",Bicycle,"Cycling with the glasses is not possible, the sensor is blocked by the helmet, the glasses sit 4 cm too low.",NA,"Actually, cycling is not possible like this, from now on I will go on foot."
BAUA_S025,2025-10-19T11:21:00Z,NA,"Familientreffen, jeder fragt Einzeln was ich auf habe, alle denken es ist ne Cam",NA,"Keine, Jedes mal Erklären was es ist",NA,"Family gathering; each person individually asks what I am wearing, everyone thinks it's a camera.",NA,None. I have to explain what it is every time.
