record_id,redcap_survey_identifier,offene_fragen_zur_erfahrung_timestamp,glasses_use,general_feeling,challenges,act_impact,beh_adapt,social,improvements,offene_fragen_zur_erfahrung_complete
11,BAUA_S007,"2025-07-01 19:19:19",1,"Teilweise etwas komisch, da ich merkwürdig mit der Brille ausgesehen habe.","Einfach tragen und machen...","Mit viel Öffentlichkeit bzw. in sensiblen Situationen wie beim Arzt.","Ich bin bewusst zu bestimmten Orten wie Einkaufen gegangen und habe eine große Öffentlichkeit gemieden.","konkrete Situationen gab es nicht, es gab generelles Interesse was es für ein Teil ist und ob es eine Kamera wäre.","leider nein.",2
12,BAUA_S012,"2025-07-22 07:56:58",0,Unwohl,"Fragen. Versuchen zu erklären.","Sprechen mit Personen.",Ablegen.,Ja,"Unaufälligere Sensoren",2
13,BAUA_S013,"2025-07-22 09:30:29",0,eingeschränkt,"beim Autofahren eher unangenehm","bei der Morgentoilette, umziehen, Autofahren","beim Autofahren mehrmals vergewissert, dass die Straße frei ist. Das Sichfeld ist in manchen Situationen eingeschränkt. Beim Lesen musste ich zusätzlich die Lesebrille hinzufügen, das störte sehr, wenn man 2 Brillen tragen muss. ","häufig. Beim Arzt, wurde ich nach der Brille gefragt und in der KFZ-Werkstatt. DIe Nachbarn haben mich befragt und würden auch gerne an der Studie teilnehmen. Im Freundes- und Verwandtenkreis wurde es auch positiv aufgenommen. ","ja, ich würde es begrüßen, die Lichtbrille eventuell in ein Stirnband mit Stretch (verstellbar) umzufunktionieren. Ich denke, dass es weniger stört. ",2
14,BAUA_S014,"2025-07-22 10:43:26",0,"etwas ungewohnt durch Brille, jedoch alles im Rahmen","ungewohntes Gefühl und Sichtfenster","Spazieren draußen"," --","ja, in der Arbeit wurde ich mehrmals neugierig angesprochen was ich trage"," --",2
15,BAUA_S016,"2025-07-29 16:13:15",1,"Etwas gewöhnungbedürftig aber in Ordnung","Kontakt mit anderen (fremden) Menschen","Aktivitäten mit anderen Menschen",Nichts,"Ich wurde gefragt, ob ich eine Kamera trage. Es wurde positiv aufgenommen, dass es sich um ein Versuch handelt zur Lichtexposition","unauffälligeren Sensor wenn möglich",2
16,BAUA_S015,"2025-07-29 17:56:09",0,"Anfangs etwas komisch, aber man hat sich schnell daran gewöhnt. In manchen Situationen trotzdem etwas unangenehm.","Viele Leute, die einen anstarren. Selten kamen Fragen, aber nie negativ sondern aus Interesse.","Im öffentlichen Verkehr (Bus, Bahn), immer einen platz gesucht mit möglichst wenig Augenkontakt zu Menschen.","Immer einen Platz gesucht mit möglichst wenig Augenkontakt zu Menschen. Minimal weniger rausgegangen als sonst.",Ja.,"Nein, aber das Halsband sollte evtl. längenverstellbar sein, da es öfters unter den Pulli gerutscht ist.",2
17,BAUA_S017,"2025-09-15 14:25:52",0,"nicht anders, allerdings hat die Brille sowohl als auch das Halsband während körperlicher Arbeit gestört. ","die einzige Herausforderung war es das mir die Brille nicht abfällt wenn ich auf dem Dach gearbeitet habe ","auf der Arbeit ","garnichht, musste die Brille halt nur alle paar Minuten wieder neu ausrichten, was nach einer Zeit bisschen nervig wurde da ich kein Brillenträger bin und mich auf der arbeit als Dachdecker halt viel bewege","Bis aus seltsame Blicke und meinen Nachbarn der gefragt hat nein ","Das Halsband stört nicht wirklich, das Armband ist absolut in Ordnung, nur die Brille sieht halt mit dem riesen Sensor im Gesicht etwas gewöhnungsbedürftig aus ",2
18,BAUA_S018,"2025-09-15 19:15:00",0,"Teils hatte ich das Gefühl, dass sie im Weg war, gerade bei der Hausarbeit","Beim nach unten schauen ist sie des Öfteren runtergerutscht. Zudem war es aufgrund einiger Blicke unangenehm damit draußen spazieren zu gehen","Beim putzen und beim draußen spazieren","Ich habe sie festgehalten wenn ich wusste, dass ich nach unten schauen möchte","Ein älterer Herr hat mich auf dem Weg zur arbeit angefaucht, meine Arbeitskolleg*innen waren sehr interessiert","Falls möglich ein etwas unauffälligerer Sensor, aber ich verstehe, dass dies eventuell nicht möglich ist",2
19,BAUA_S022,"2025-09-29 23:16:44",0,gut,"keine ","Keine ",keine,ja,"Gläser entspiegeln",2
20,BAUA_S023,"2025-09-30 14:08:33",1,"Leider konnte ich die Brille nur 1 1/2 Tage tragen. Die fehlende Entspiegelung hat bei mir für Kopfschmerzen gesorgt.","Die fehlende Entspiegelung, sowie das Gewicht waren sehr unangenehm. Ich habe die Brille auf Grund dessen nicht mehr getragen. ","Sobald mehrere Lichtquellen an waren, hat mich die Brille extrem gestört.","Ich habe die Brille abgenommen.",Nein,"Die Brille sollte zwingend entspiegelt werden. Des weiteren sollte am Gewicht gearbeitet werden.",2
21,BAUA_S024,"2025-10-20 11:25:58",0,"Zuerst war es schwer, sich an das Tragen der Brille zu gewöhnen, dann ging es aber gut. In der Öffentlichkeit wurde man natürlich schon etwas schräg von der Seite angeschaut. ","In der Öffentlichkeit zieht die Lichtbrille Aufmerksamkeit auf sich, was mich jetzt nicht stört. Bei einem wichtigen Geschäftstermin habe ich sie aber abgesetzt, weil das doch sehr unprofessionell wirkt.    Mit dem Hals/Armband hatte ich Probleme, dass der Sensor (vor allem am Handgelenk) oft von etwas (Jacke/Decke) bedeckt wurde.","Bei Geschäftsterminen (in einer Woche, während der viele Termine stattfinden hätte ich sie nicht tragen können).","Abends mal kein Bad genommen, immer wieder versucht, mein Handgelenk unbedeckt zu haben. ","Niemand hat mich direkt darauf angesprochen, aber Blicke gab es definitiv. Ich denke, dass Leute in der Öffentlichkeit davon ausgehen, dass sie gefilmt werden (siieht aus wie eine mini-GoPro).","Je kleiner desto besser. Rahmen bitte in schwarz drucken.    ",2
22,BAUA_S025,"2025-10-20 14:00:19",0,"Gerade morgens, abends, duschen, Umziehen, Jacke anziehen war extrem schwierig mit Brille und Trageprotokoll","Alle Leute sprechen mich darauf an. Gleichzeitig schwere auf Nase (Sonst nichtmal Brillenträger) + Komplikationen mit Fahrradhelm.","Angesprochen werden, Fahrradfahren (Helm)","Ich habe mich erklärt, und darauf hingewiesen, dass es nur Licht, aber kein Video ist. ","siehe Oben, ja!","Garnicht als Brille ausführen. nur Stirnaufsatz mit Band. Eventuell auf das Halsband zurückgreifen.",2
